"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4581","verify product search canon","webkit","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","16449","verify product search macbook","Microsoft Edge","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","7689","verify product search macbook","webkit","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","16473","verify product search iMac","Microsoft Edge","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","15961","verify product search samsung","Microsoft Edge","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","18200","verify product search foo","firefox","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","17530","verify product search macbook","Google Chrome","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","21540","verify product search canon","firefox","2026-04-25","failed","2026-04-25","","search.spec.ts","",""
"","4770","verify product search canon","Google Chrome","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","19995","verify product search macbook","firefox","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","17391","verify product search samsung","Google Chrome","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","18206","verify product search iMac","firefox","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","4574","verify product search iMac","webkit","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","3386","verify product search iMac","Google Chrome","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","3537","verify product search foo","Google Chrome","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","16044","verify product search canon","Microsoft Edge","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","20860","verify product search samsung","firefox","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","7830","verify product search samsung","webkit","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","16369","verify product search foo","Microsoft Edge","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
"","4240","verify product search foo","webkit","2026-04-25","passed","2026-04-25","","search.spec.ts","",""
